Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;2;3;150;N;S;N;Piso;"Calle de Ercilla; Abando - Albia";2000;Abando;40300
Bilbao;2;1;78;N;N;N;Piso;"Barrio Betolatza; 54; Errekalde";700;Errekalde;21172
Bilbao;2;1;60;N;S;N;Piso;"Sagarminaga Etxetaldea; Begoña - Santutxu";750;Santutxu;18165
Bilbao;1;2;136;N;S;N;Piso;"Paseo Uribitarte; Abando - Albia";1800;Abando;40300
Bilbao;3;1;88;N;S;N;Piso;"Calle Islas Canarias; Deusto";830;Deusto;28537
Bilbao;2;3;103;N;S;N;Piso;"Calle de Ercilla; Indautxu";1400;Indautxu;40401
Bilbao;2;1;60;N;N;N;Piso;"Grupo Unión Begoñesa; Begoña - Santutxu";1400;Santutxu;18165
Bilbao;2;1;55;N;N;N;Piso;"Carretera Castresana; Basurtu - Zorrotza";520;Basurtu;29709
Bilbao;2;1;65;N;S;N;Piso;"Gordóniz Kalea; Errekalde";750;Errekalde;21172
Bilbao;3;2;120;S;S;N;Estudio;"Avenida Sabino Arana; Basurtu - Zorrotza";790;Basurtu;29709
Bilbao;3;2;103;N;S;N;Piso;"Heros; Abando - Albia";1200;Abando;40300
Bilbao;2;2;75;N;S;N;Piso;Uribarri;900;Uribarri;18654
Bilbao;3;1;75;N;S;N;Piso;"Blas de Otero; Deusto";850;Deusto;28537
Bilbao;3;2;95;N;S;N;Piso;"Bilbao - Landin Felix Doctor Kalea; Errekalde";950;Errekalde;21172
Bilbao;1;1;45;N;S;N;Apartamento;Abando - Albia;800;Abando;40300
Bilbao;3;1;103;N;N;N;Piso;Ibaiondo;950;Ibaiondo;30491
Bilbao;3;2;130;N;S;N;Piso;Abando - Albia;1800;Abando;40300
Bilbao;3;1;60;N;N;N;Piso;"Calle Lozoño; Otxarkoaga - Txurdinaga";1200;Txurdinaga;26356
Bilbao;3;2;80;N;N;N;Piso;Ibaiondo;1000;Ibaiondo;30491
Bilbao;2;1;68;N;S;N;Piso;"Iturriaga; Begoña - Santutxu";750;Santutxu;18165
Bilbao;4;2;112;S;S;N;Piso;Deusto;1800;Deusto;28537
Bilbao;3;1;57;N;N;N;Piso;"Lozoño Kalea; Otxarkoaga - Txurdinaga";800;Txurdinaga;26356
Bilbao;2;2;70;S;S;N;Piso;"Paseo Campo de Volantín; Uribarri";950;Uribarri;18654
Bilbao;3;2;120;N;S;N;Piso;Ibaiondo;1200;Ibaiondo;30491
Bilbao;1;2;45;N;S;N;Apartamento;"Mazarredo Zumarkalea; Abando - Albia";1200;Abando;40300
Bilbao;3;1;108;N;N;N;Piso;"Calle la Laguna; Ibaiondo";950;Ibaiondo;30491
Bilbao;3;1;95;S;S;N;Piso;"Karmelo; Begoña - Santutxu";875;Santutxu;18165
Bilbao;2;1;52;S;S;N;Piso;"Calle Cocherito de Bilbao; Begoña - Santutxu";720;Santutxu;18165
Bilbao;2;1;52;N;S;N;Piso;"Calle Médico Antonio Eguiluz; Begoña - Santutxu";750;Santutxu;18165
Bilbao;1;1;45;N;S;N;Piso;"Calle Huertas de la Villa; Uribarri";750;Uribarri;18654
Bilbao;2;2;90;S;S;N;Piso;Uribarri;1250;Uribarri;18654
Bilbao;2;1;50;N;S;N;Piso;"Calle Blas de Otero; Deusto";650;Deusto;28537
Bilbao;1;1;50;N;S;N;Apartamento;"Avenida Sabino Arana; Basurtu - Zorrotza";800;Basurtu;29709
Bilbao;2;2;80;N;S;N;Piso;Ibaiondo;900;Ibaiondo;30491
Bilbao;2;2;100;N;S;N;Piso;Deusto;1400;Deusto;28537
Bilbao;2;2;125;N;S;N;Piso;Deusto;1400;Deusto;28537
Bilbao;1;1;47;N;S;N;Piso;"Grupo San Joaquín; Begoña - Santutxu";750;Santutxu;18165
Bilbao;2;1;75;N;N;N;Piso;Deusto;890;Deusto;28537
Bilbao;2;1;70;N;S;N;Piso;Ibaiondo;850;Ibaiondo;30491
